Timestamp,Metric,Entity,Value,Algorithm
1765478086.5316167,DROP,Switch1,1,ECMP
1765478086.5319002,BUFFER,Switch2,0,ECMP
1765478086.5350254,DROP,Switch1,1,ECMP
1765478086.5378761,DROP,Switch1,1,ECMP
1765478086.5405698,BUFFER,Switch1,29,ECMP
1765478086.541283,DROP,Switch1,1,ECMP
1765478086.5447202,DROP,Switch1,1,ECMP
1765478086.5456815,BUFFER,Switch2,0,ECMP
1765478086.5488217,DROP,Switch1,1,ECMP
1765478086.5514367,BUFFER,Switch1,30,ECMP
1765478086.5514424,DROP,Switch1,1,ECMP
1765478086.5573282,DROP,Switch1,1,ECMP
1765478086.55916,BUFFER,Switch2,0,ECMP
1765478086.560783,DROP,Switch1,1,ECMP
1765478086.5635264,BUFFER,Switch1,29,ECMP
1765478086.563595,DROP,Switch1,1,ECMP
1765478086.5671232,DROP,Switch1,1,ECMP
1765478086.5693295,DROP,Switch1,1,ECMP
1765478086.5715106,DROP,Switch1,1,ECMP
1765478086.5731716,BUFFER,Switch2,0,ECMP
1765478086.5749013,BUFFER,Switch1,29,ECMP
1765478086.574981,DROP,Switch1,1,ECMP
1765478086.5783255,DROP,Switch1,1,ECMP
1765478086.5823998,DROP,Switch1,1,ECMP
1765478086.5852194,DROP,Switch1,1,ECMP
1765478086.585938,BUFFER,Switch1,29,ECMP
1765478086.5868728,BUFFER,Switch2,0,ECMP
1765478086.5880735,DROP,Switch1,1,ECMP
1765478086.600238,BUFFER,Switch2,0,ECMP
1765478086.6526833,BUFFER,Switch2,0,ECMP
1765478086.655941,BUFFER,Switch1,2,ECMP
1765478086.9113915,BUFFER,Switch2,0,ECMP
1765478086.9644744,BUFFER,Switch1,2,ECMP
1765478086.977054,BUFFER,Switch1,10,ECMP
1765478086.9810872,BUFFER,Switch2,0,ECMP
1765478086.9892774,BUFFER,Switch1,18,ECMP
1765478086.998364,BUFFER,Switch2,0,ECMP
1765478087.0703344,BUFFER,Switch2,0,ECMP
1765478087.072241,BUFFER,Switch1,4,ECMP
1765478087.0846388,BUFFER,Switch1,8,ECMP
1765478087.0859866,BUFFER,Switch2,0,ECMP
1765478087.1010342,BUFFER,Switch2,1,ECMP
1765478087.1683836,BUFFER,Switch1,0,ECMP
1765478087.1789448,BUFFER,Switch2,0,ECMP
1765478087.220884,BUFFER,Switch1,0,ECMP
1765478087.5734727,BUFFER,Switch1,7,ECMP
1765478087.5746567,BUFFER,Switch2,0,ECMP
1765478087.5862625,BUFFER,Switch1,16,ECMP
1765478087.5971625,BUFFER,Switch2,0,ECMP
1765478087.598231,BUFFER,Switch1,25,ECMP
1765478087.6054952,DROP,Switch1,1,ECMP
1765478087.608489,DROP,Switch1,1,ECMP
1765478087.6099772,BUFFER,Switch1,29,ECMP
1765478087.6107755,DROP,Switch1,1,ECMP
1765478087.613395,BUFFER,Switch2,0,ECMP
1765478087.6143744,DROP,Switch1,1,ECMP
1765478087.6165984,DROP,Switch1,1,ECMP
1765478087.6188395,DROP,Switch1,1,ECMP
1765478087.6217291,BUFFER,Switch1,29,ECMP
1765478087.6217883,DROP,Switch1,1,ECMP
1765478087.6273143,BUFFER,Switch2,1,ECMP
1765478087.6399071,BUFFER,Switch2,4,ECMP
1765478087.7792258,BUFFER,Switch1,7,ECMP
1765478087.7867138,BUFFER,Switch2,0,ECMP
1765478087.790532,BUFFER,Switch1,15,ECMP
1765478087.802184,BUFFER,Switch2,0,ECMP
1765478087.8155358,BUFFER,Switch2,1,ECMP
1765478088.828098,BUFFER,Switch1,0,ECMP
1765478089.9140868,BUFFER,Switch1,2,ECMP
1765478089.9172127,BUFFER,Switch2,0,ECMP
1765478089.9267023,BUFFER,Switch1,11,ECMP
1765478089.9377024,BUFFER,Switch2,0,ECMP
1765478089.9389968,BUFFER,Switch1,18,ECMP
1765478089.95064,BUFFER,Switch1,23,ECMP
1765478089.9535682,BUFFER,Switch2,0,ECMP
1765478089.9670122,BUFFER,Switch2,2,ECMP
1765478090.1968696,BUFFER,Switch1,5,ECMP
1765478090.2020345,BUFFER,Switch2,0,ECMP
1765478090.526877,BUFFER,Switch1,7,ECMP
1765478090.5340867,BUFFER,Switch2,1,ECMP
1765478091.177541,BUFFER,Switch1,1,ECMP
1765478091.1788018,BUFFER,Switch2,0,ECMP
1765478091.1890872,BUFFER,Switch1,5,ECMP
1765478091.19307,BUFFER,Switch2,0,ECMP
1765478091.2006538,BUFFER,Switch1,9,ECMP
1765478091.207688,BUFFER,Switch2,0,ECMP
1765478091.212259,BUFFER,Switch1,13,ECMP
1765478091.2219834,BUFFER,Switch2,0,ECMP
1765478091.2237628,BUFFER,Switch1,17,ECMP
1765478091.2352903,BUFFER,Switch1,21,ECMP
1765478091.2364335,BUFFER,Switch2,0,ECMP
1765478091.2465572,BUFFER,Switch1,25,ECMP
1765478091.2506514,BUFFER,Switch2,0,ECMP
1765478091.2580886,BUFFER,Switch1,29,ECMP
1765478091.259512,DROP,Switch1,1,ECMP
1765478091.2624013,DROP,Switch1,1,ECMP
1765478091.2646651,DROP,Switch1,1,ECMP
1765478091.2650425,BUFFER,Switch2,0,ECMP
1765478091.267641,DROP,Switch1,1,ECMP
1765478091.2697015,BUFFER,Switch1,29,ECMP
1765478091.2704494,DROP,Switch1,1,ECMP
1765478091.2733438,DROP,Switch1,1,ECMP
1765478091.2756197,DROP,Switch1,1,ECMP
1765478091.2784631,DROP,Switch1,1,ECMP
1765478091.2795992,BUFFER,Switch2,0,ECMP
1765478091.2813296,BUFFER,Switch1,29,ECMP
1765478091.2814171,DROP,Switch1,1,ECMP
1765478091.284176,DROP,Switch1,1,ECMP
1765478091.2876713,DROP,Switch1,1,ECMP
1765478091.2911057,DROP,Switch1,1,ECMP
1765478091.292576,BUFFER,Switch1,29,ECMP
1765478091.2936199,BUFFER,Switch2,0,ECMP
1765478091.2940366,DROP,Switch1,1,ECMP
1765478091.296925,DROP,Switch1,1,ECMP
1765478091.3011887,DROP,Switch1,1,ECMP
1765478091.302724,DROP,Switch1,1,ECMP
1765478091.3040223,BUFFER,Switch1,29,ECMP
1765478091.3068082,DROP,Switch1,1,ECMP
1765478091.307934,BUFFER,Switch2,0,ECMP
1765478091.3089757,DROP,Switch1,1,ECMP
1765478091.3124053,DROP,Switch1,1,ECMP
1765478091.3159454,BUFFER,Switch1,29,ECMP
1765478091.3160343,DROP,Switch1,1,ECMP
1765478091.3189461,DROP,Switch1,1,ECMP
1765478091.3218155,DROP,Switch1,1,ECMP
1765478091.322231,BUFFER,Switch2,0,ECMP
1765478091.324063,DROP,Switch1,1,ECMP
1765478091.326958,BUFFER,Switch1,30,ECMP
1765478091.326967,DROP,Switch1,1,ECMP
1765478091.3284879,DROP,Switch1,1,ECMP
1765478091.332667,DROP,Switch1,1,ECMP
1765478091.334921,DROP,Switch1,1,ECMP
1765478091.3366075,BUFFER,Switch2,0,ECMP
1765478091.3383892,BUFFER,Switch1,30,ECMP
1765478091.3383973,DROP,Switch1,1,ECMP
1765478091.340632,DROP,Switch1,1,ECMP
1765478091.3440459,DROP,Switch1,1,ECMP
1765478091.346972,DROP,Switch1,1,ECMP
1765478091.3491247,DROP,Switch1,1,ECMP
1765478091.3498635,BUFFER,Switch1,29,ECMP
1765478091.3510413,BUFFER,Switch2,0,ECMP
1765478091.3534462,DROP,Switch1,1,ECMP
1765478091.3549316,DROP,Switch1,1,ECMP
1765478091.359069,DROP,Switch1,1,ECMP
1765478091.3618522,BUFFER,Switch1,29,ECMP
1765478091.3619,DROP,Switch1,1,ECMP
1765478091.3650703,BUFFER,Switch2,0,ECMP
1765478091.3654842,DROP,Switch1,1,ECMP
